Filename,Artist,Country/Entity,Keywords
6M-B.tif,,Cameroon,fire|food|knife|man|meat|people|cooking|masak|api|makanan|pisau|manusia|daging|orang|orang-orang
,,,
5T-B.tif,,Cameroon,arrow|weapon|anak panah|senjata 
,,,
5T-G.tif,,Cameroon,gun|rifle|weapon|senapan|senjata 
,,,
5O-P.tif,,Cameroon,bundle|construction|grass|house|ladder|roof|thatch|house building|ikat|bangun (rumah)|rumput|rumah|bangun rumah|tangga|atap
,,,
6M-P.tif,,Cameroon,boy|man|people|anak laki-laki|manusia|orang|orang-orang
,,,
6M-D.tif,,Cameroon,group|man|people|pot|woman|work|kelompok|manusia|orang|orang-orang|panci|wanita|kerja
,,,
6M-I.tif,,Cameroon,dance|drum|group|mask|music|people|musical instrument|menari|tifa|gendang|kelompok|topeng|masker|musik|alat musik|orang|orang-orang
,,,
5O-U.tif,,Cameroon,drum|man|music|musical instrument|people|robe|tifa|gendang|manusia|musik|alat musik|orang|orang-orang|jubah
,,,
6W-AC.tif,,Cameroon,group|jar|people|pump|water|well|woman|kelompok|kendi|guci|orang|orang-orang|pompa|air|sumur|perigi|wanita
,,,
6M-W.tif,,Cameroon,child|fire|group|man|people|storyteller|anak|api|kelompok|manusia|orang|orang-orang|pendongeng
,,,
6M-U.tif,,Cameroon,drum|man|music|people|musical instrument|tifa|gendang|manusia|musik|alat musik|orang|orang-orang
,,,
6W-AJ.tif,,Cameroon,boy|child|gourd|people|work|carry|anak laki-laki|bawa|anak|labu|orang|orang-orang|kerja
,,,
6W-Y.tif,,Cameroon,jar|people|woman|carry|bawa|kendi|guci|orang|orang-orang|wanita
,,,
6W-E.tif,,Cameroon,people|woman|orang|orang-orang|wanita
,,,
6W-R.tif,,Cameroon,canoe|group|night|people|river|travel|water|sampan|perahu|kelompok|malam|orang|orang-orang|sungai|kali|aer|perjalanan|air
,,,
6W-T.tif,,Cameroon,dress|people|woman|rok|baju langsung|orang|orang-orang|wanita
,,,
6W-M.tif,,Cameroon,bowl|child|eating|fire|girl|group|meal|people|pot|rock|stool|woman|mangkuk|anak|makan|api|anak perempuan|kelompok|makanan|orang|orang-orang|panci|batu|bangku tak bersandar|wanita
,,,
7K.tif,,Cameroon,hand|man|paper|pencil|people|write|tangan|manusia|kertas|pensil|orang|orang-orang|tulis
,,,
8b.tif,Mbange Ernest Bawe,Cameroon,basin|hand|man|people|soap|wash|hygiene|baskom|mangkok|tangan|kesehatan|manusia|orang|orang-orang|sabun|cuci
,,,
7M.tif,,Cameroon,book|boy|child|class|desk|girl|group|people|reading|school|student|write|buku|anak laki-laki|anak|kelas|sekola|meja tulis|anak perempuan|kelompok|orang|orang-orang|membaca|sekolah|pelajar|murid|tulis
,,,
7F.tif,,Cameroon,child|group|path|people|school|trail|anak|kelompok|jalan|orang|orang-orang|sekolah|jalan kecil
,,,
8i.tif,Mbange Ernest Bawe,Cameroon,"clinic|hospital|path|people|woman|trail|klinik|puskesmas, balai pengobatan|rumah sakit|jalan|orang|orang-orang|puskesmas|balai pengobatan|jalan kecil|wanita"
,,,
9AAAA.tif,,Cameroon,Cameroon|logo|map|peta
,,,
8Q.tif,,Cameroon,outhouse|kakus
,,,
8N.tif,,Cameroon,"bed|clinic|health|hospital|man|medicine|patient|people|woman|tempat tidur|koi|klinik|puskesmas, balai pengobatan|kesehatan|rumah sakit|manusia|ilmu kesehatan|pasien|orang|orang-orang|puskesmas|balai pengobatan|wanita"
,,,
9GG.tif,,Cameroon,measure|measuring tape|ukuran|pita pengukur
,,,
9EEE.tif,,Cameroon,"gate|house|hut|mountain|rock|village|wall|pintu gerbang|rumah|pondok|gubuk, rumah kebun|walang|gunung|gubuk|rumah kebun|batu|desa|kampung|dinding|tembok"
,,,
9CC.tif,,Cameroon,rope|tali
,,,
8V.tif,,Cameroon,man|medicine|patient|people|pharmacy|pill|tablet|talking|teach|manusia|ilmu kesehatan|pasien|orang|orang-orang|apotik|pil|bicara|ajar
,,,
9LLLL.tif,,Cameroon,bed|mosquito net|people|sleeping|tempat tidur|koi|kelambu|orang|orang-orang|tidur
,,,
9KKK.tif,,Cameroon,book|buku
,,,
9H.tif,,Cameroon,basin|bowl|baskom|mangkok|mangkuk
,,,
9O.tif,,Cameroon,"building|house|hut|store|gedung|rumah|pondok|gubuk, rumah kebun|walang|gubuk|rumah kebun|toko"
,,,
9W.tif,,Cameroon,lamp|lantern|light|lampu|lentera
,,,
